id	date	home_team	home_team_score	visit_team	visit_team_score
400827892	2016-10-28	Boston Celtics	112	Philadelphia	95
400827911	2016-10-30	Boston Celtics	103	Toronto	113
400827927	2016-11-01	Boston Celtics	87	San Antonio	95
400827947	2016-11-04	Indiana	100	Boston Celtics	98
400827963	2016-11-06	Boston Celtics	118	Washington	98
400827997	2016-11-10	Milwaukee	83	Boston Celtics	99
400828003	2016-11-11	Boston Celtics	91	Indiana	102
400828016	2016-11-13	Boston Celtics	106	Atlanta	93
400828036	2016-11-15	Oklahoma City	85	Boston Celtics	100
400828041	2016-11-16	Houston	95	Boston Celtics	111
400828055	2016-11-18	Boston Celtics	102	Dallas	106
400828066	2016-11-20	Boston Celtics	120	Brooklyn	95
400828084	2016-11-22	Brooklyn	111	Boston Celtics	101
400828097	2016-11-24	Atlanta	121	Boston Celtics	97
400828104	2016-11-25	Boston Celtics	84	Philadelphia	80
400828116	2016-11-27	Boston Celtics	111	Washington	78
400828136	2016-11-29	Orlando	110	Boston Celtics	91
400828142	2016-11-30	Miami	95	Boston Celtics	105
400828169	2016-12-03	Sacramento	97	Boston Celtics	114
400828183	2016-12-05	San Antonio	108	Boston Celtics	105
400828199	2016-12-07	New Orleans	93	Boston Celtics	111
400828206	2016-12-09	Boston Celtics	105	Chicago	100
400828223	2016-12-11	Boston Celtics	119	Golden State	124
400828232	2016-12-12	Charlotte	93	Boston Celtics	98
400828254	2016-12-15	Boston Celtics	77	Cleveland	89
400828261	2016-12-16	Detroit	119	Boston Celtics	116
400828276	2016-12-18	Boston Celtics	101	Atlanta	109
400828298	2016-12-21	Boston Celtics	113	Minnesota	99
400828310	2016-12-23	Charlotte	89	Boston Celtics	102
400828333	2016-12-26	Detroit	93	Boston Celtics	99
400828341	2016-12-27	Boston Celtics	100	NY Knicks	91
400828363	2016-12-30	Boston Celtics	104	Los Angeles	112
400828382	2016-01-02	Boston Celtics	97	Brooklyn	100
400828400	2016-01-04	Brooklyn	94	Boston Celtics	103
400828415	2016-01-06	Boston Celtics	94	Detroit	99
400828424	2016-01-07	Chicago	101	Boston Celtics	92
400828447	2016-01-10	Memphis	101	Boston Celtics	98
400828458	2016-01-12	NY Knicks	120	Boston Celtics	114
400828467	2016-01-13	Boston Celtics	103	Indiana	94
400828482	2016-01-15	Boston Celtics	117	Phoenix	103
400828491	2016-01-16	Washington	117	Boston Celtics	119
400828510	2016-01-18	Dallas	118	Boston Celtics	113
400828520	2016-01-20	Toronto	115	Boston Celtics	109
400828533	2016-01-22	Boston Celtics	110	Chicago	101
400861758	2016-01-24	Philadelphia	92	Boston Celtics	112
400828555	2016-01-25	Washington	91	Boston Celtics	116
400828572	2016-01-27	Boston Celtics	111	Denver	103
400828585	2016-01-29	Boston Celtics	113	Orlando	94
400828603	2016-01-31	Orlando	119	Boston Celtics	114
400828617	2016-02-02	NY Knicks	89	Boston Celtics	97
400828624	2016-02-03	Boston Celtics	102	Detroit	95
400828642	2016-02-05	Cleveland	103	Boston Celtics	104
400828660	2016-02-07	Boston Celtics	128	Sacramento	119
400828673	2016-02-09	Milwaukee	112	Boston Celtics	111
400828679	2016-02-10	Boston Celtics	139	LA	134
400828704	2016-02-19	Utah	111	Boston Celtics	93
400828712	2016-02-21	Denver	101	Boston Celtics	121
400828725	2016-02-22	Minnesota	124	Boston Celtics	122
400828743	2016-02-25	Boston Celtics	112	Milwaukee	107
400828756	2016-02-27	Boston Celtics	101	Miami	89
400828773	2016-03-02	Boston Celtics	116	Utah	93
400828786	2016-03-04	Boston Celtics	105	Portland	104
400828802	2016-03-05	Boston Celtics	120	NY Knicks	103
400828809	2016-03-09	Cleveland	116	Boston Celtics	96
400828840	2016-03-11	Boston Celtics	98	Memphis	102
400828852	2016-03-15	Boston Celtics	103	Houston	98
400828884	2016-03-16	Indiana	109	Boston Celtics	130
400828890	2016-03-18	Boston Celtics	105	Oklahoma City	91
400828910	2016-03-20	Toronto	105	Boston Celtics	120
400828926	2016-03-21	Philadelphia	107	Boston Celtics	96
400828933	2016-03-23	Boston Celtics	91	Orlando	79
400828944	2016-03-26	Boston Celtics	99	Toronto	102
400828977	2016-03-28	Phoenix	114	Boston Celtics	90
400828993	2016-03-31	LA	116	Boston Celtics	109
400829014	2016-04-01	Portland	106	Boston Celtics	109
400829023	2016-04-03	Golden State	100	Boston Celtics	107
400829040	2016-04-06	Los Angeles	104	Boston Celtics	97
400829055	2016-04-08	Boston Celtics	124	New Orleans	109
400829068	2016-04-09	Boston Celtics	118	Milwaukee	107
400829075	2016-04-11	Atlanta	100	Boston Celtics	114
400829092	2016-04-13	Boston Celtics	98	Charlotte	88
400829104	2016-10-28	Boston Celtics	100	Miami	115
400827893	2016-10-30	Brooklyn Nets	102	Chicago	75
400827915	2016-10-31	San Antonio	101	Brooklyn Nets	91
400827923	2016-11-02	Memphis	96	Brooklyn Nets	103
400827934	2016-11-04	Brooklyn Nets	101	Milwaukee	87
400827949	2016-11-06	Atlanta	98	Brooklyn Nets	104
400827964	2016-11-07	Brooklyn Nets	94	Los Angeles	86
400827976	2016-11-11	Milwaukee	98	Brooklyn Nets	106
400828006	2016-11-13	Houston	111	Brooklyn Nets	109
400828024	2016-11-14	Sacramento	107	Brooklyn Nets	99
400828031	2016-11-17	Golden State	90	Brooklyn Nets	88
400828046	2016-11-18	Brooklyn Nets	116	Atlanta	111
400828052	2016-11-20	Charlotte	120	Brooklyn Nets	95
400828110	2016-11-28	Oklahoma City	90	Brooklyn Nets	88
400828127	2016-11-29	Cleveland	87	Brooklyn Nets	83
400828135	2016-12-01	Brooklyn Nets	94	Detroit	91
400828151	2016-12-04	Brooklyn Nets	108	Phoenix	91
400828170	2016-12-06	NY Knicks	98	Brooklyn Nets	114
400828187	2016-12-08	Brooklyn Nets	110	Golden State	105
400828202	2016-12-10	Brooklyn Nets	100	Houston	91
400828216	2016-12-12	Brooklyn Nets	100	Philadelphia	105
400828231	2016-12-14	Brooklyn Nets	82	LA	105
400828245	2016-12-16	Brooklyn Nets	98	Orlando	104
400828260	2016-12-18	Brooklyn Nets	104	Miami	97
400828273	2016-12-20	Indiana	85	Brooklyn Nets	100
400828290	2016-12-21	Brooklyn Nets	102	Minnesota	105
400828301	2016-12-23	Chicago	118	Brooklyn Nets	119
400828315	2016-12-26	Brooklyn Nets	96	Dallas	111
400828334	2016-12-28	Brooklyn Nets	105	Washington	111
400828349	2016-12-30	Miami	100	Brooklyn Nets	93
400828362	2016-01-02	Orlando	97	Brooklyn Nets	100
400828416	2016-01-08	Brooklyn Nets	77	Toronto	83
400828428	2016-01-09	Brooklyn Nets	103	Orlando	89
400828440	2016-01-11	Detroit	79	Brooklyn Nets	106
400828453	2016-01-13	Brooklyn Nets	110	San Antonio	104
400828466	2016-01-15	Brooklyn Nets	104	NY Knicks	116
400828483	2016-01-16	Brooklyn Nets	114	Portland	86
400828489	2016-01-18	Atlanta	112	Brooklyn Nets	100
400828508	2016-01-20	Toronto	78	Brooklyn Nets	91
400828518	2016-01-22	Brooklyn Nets	86	Cleveland	108
400828534	2016-01-24	Brooklyn Nets	116	Utah	106
400828551	2016-01-26	Brooklyn Nets	98	Oklahoma City	102
400828565	2016-01-29	Brooklyn Nets	91	Miami	79
400828589	2016-01-30	Dallas	105	Brooklyn Nets	103
400828597	2016-02-01	New Orleans	100	Brooklyn Nets	105
400828609	2016-02-03	Brooklyn Nets	100	Detroit	114
400828625	2016-02-05	Brooklyn Nets	128	Indiana	119
400828641	2016-02-06	Brooklyn Nets	103	Sacramento	98
400828651	2016-02-08	Philadelphia	105	Brooklyn Nets	104
